Node,Domain,Type,Category,CPU,RAM,Disk,GPU,FPGA,USRP,WiFi,Devices
"node20-15","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak], 802.11 n WLAN","TI XDS, WiMAX"
"node20-16","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","RTL-SDR, Mote"
"node20-17","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Corporation Wireless 7260","-"
"node20-18","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Corporation Wireless 7260","-"
"node20-19","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node20-20","grid","Node","SDR Node","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","usrp2","-","WiMAX, Mote"
"node20-6","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","RTL-SDR, WiMAX, TI XDS"
"node20-8","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Corporation Wireless 7260","-"
"node21-1","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz","62.8 GB","111GB SSD","NVIDIA Corporation GK210GL [Tesla K80] (rev a1)","none","-","-","-"
"node21-10","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-11","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-12","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","-","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-14","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-15","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-16","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
